grammar_error_sentence,corrected_sentence,spelling_error_sentences
මම නැටුම් නටද්දී නුබලා වේගයෙන් යවමි,මම නැටුම් නටද්දී නුබලා වේගයෙන් යවන්නෙහු,මම නැටුම් නටද්ී නුබලා වේගයෙන් යවන්නෙහු
නුබලා ඔහුගෙන් පොතක් දෙවමි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක ගැනවේ
ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගැනෙමි,ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගැනේ,ඔ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගැනේ
වාහනය බත් කමින් යැවෙහි,වාහනය බත් කමින් යැවේ,වාහනය බත් කමින් යැව
ළමයා ගෙදර වේගයෙන් ගියෙහු,ළමයා ගෙදර වේගයෙන් යවයි,ළමයා ෙදර වේගයෙන් යවයි
ළමයි ගියාය,ළමයි යවන්නෝය,ළයි යවන්නෝය
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගනියි,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගනිමිවා,බ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගනිමිවා
වාහනය බත් කමින් ගෙදර යවන්නෙහි,වාහනය බත් කමින් ගෙදර යවන්නීය,වාහනය ත් කමින් ගෙදර යවන්නීය
වාහනය ඔහුට පොතක් දුන්නෙමු,වාහනය ඔහුට පොතක් දෙවයි,වාහනය ඔහුට පතක් දෙවයි
මම ගෙදර වේගයෙන් යැවෙති,මම ගෙදර වේගයෙන් යැවෙමි,ම ගෙදර වේගයෙන් යැවෙමි
ළමයා පොත බලා වේගයෙන් යන්න,ළමයා පොත බලා වේගයෙන් යත්වා,ළමා පොත බලා වේගයෙන් යත්වා
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් ගනිවු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සන්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන හුගෙන් පොතක් ගැනවේ
වාහනය බත් කමින් ගෙදර යන්නෙමි,වාහනය බත් කමින් ගෙදර යන්නීය,වාහනය බ් කමින් ගෙදර යන්නීය
ඔබ සින්දු කිව්වොත් ළමයා ගෙදර වේගයෙන් යව,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර වේගයෙන් යයි,ඔබ සින්දු කිව්වොත් ළමයා ගෙදර වේගයෙන් යි
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් ගන්නෙමුවා,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
අපි පොත බලා ගෙදර වේගයෙන් යැවේ,අපි පොත බලා ගෙදර වේගයෙන් ගියෙමු,අපි පොත බා ගෙදර වේගයෙන් ගියෙමු
වාහන පොත බලා ගෙදර යන්නෙමි,වාහන පොත බලා ගෙදර යන්නීය,වාහන පත බලා ගෙදර යන්නීය
ඔබ සින්දු කිව්වොත් මම ගෙදර ගියාය,ඔබ සින්දු කිව්වොත් මම ගෙදර ගියෙමි,ඔබ සින්දු කිව්වොත් මම ගෙදර ගියෙම
නුබ වේගයෙන් යමිවා,නුබ වේගයෙන් යන්නෙහිවා,නුබ වේගයෙන යන්නෙහිවා
මම නැටුම් නටද්දී ළමයි යන්නෙමිවා,මම නැටුම් නටද්දී ළමයි යති,මම නැටුම් නටදදී ළමයි යති
ලස්සන මම ගෙදර යවන්නීය,ලස්සන මම ගෙදර යමිවා,ලස්සන මම ගෙදර යමිව
වාහනය ගෙදර වේගයෙන් යවන්නෙමි,වාහනය ගෙදර වේගයෙන් යවන්නීය,වාහනය ගෙදර වේගයෙන යවන්නීය
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවෙමු,ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දුන්නෝය,ඔබ සි්දු කිව්වොත් ළමයි ඔහුට පොතක් දුන්නෝය
ඔබ සින්දු කිව්වොත් වාහනය යමි,ඔබ සින්දු කිව්වොත් වාහනය යන්නේය,බ සින්දු කිව්වොත් වාහනය යන්නේය
මම බත් කමින් ගෙදර යන්නෙහිවා,මම බත් කමින් ගෙදර යන්නෙමිවා,ම බත් කමින් ගෙදර යන්නෙමිවා
නුබ බත් කමින් යන්නේය,නුබ බත් කමින් යන්නෙහිවා,නබ බත් කමින් යන්නෙහිවා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෙහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි,මම නටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
නුබලා පොත බලා ගෙදර වේගයෙන් යනලදී,නුබලා පොත බලා ගෙදර වේගයෙන් යහුවා,නුබලා ොත බලා ගෙදර වේගයෙන් යහුවා
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙන්නෙහි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,ම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දුන්නෙහි,මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙවයි,මම නැටු් නටද්දී වාහනය ඔහුට පොතක් දෙවයි
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් දෙන්න,ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් දෙනවාලා,ඔ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් දෙනවාලා
ඔබ සින්දු කිව්වොත් අපි ගෙදර යැවවෙති,ඔබ සින්දු කිව්වොත් අපි ගෙදර යැවෙමු,ඔබ සින්දු කිව්වොත් අපි ගදර යැවෙමු
ලස්සන නුබලා පොත බලා ගෙදර යවන්නේය,ලස්සන නුබලා පොත බලා ගෙදර යවන්නෙහු,ලස්සන නුබලා පොත බල ගෙදර යවන්නෙහු
ඔබ සින්දු කිව්වොත් ලස්සන වාහන ගෙදර යමු,ඔබ සින්දු කිව්වොත් ලස්සන වාහන ගෙදර යන්නේය,ඔබ සින්දු කිව්වොත් ලස්සන වාහන ගෙදර ය්නේය
ඔබ සින්දු කිව්වොත් මම ගෙදර වේගයෙන් යනලදී,ඔබ සින්දු කිව්වොත් මම ගෙදර වේගයෙන් යවමි,ඔබ සින්දු කිව්වොත් මම ගෙදර වේගයෙන් යමි
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යනලදී,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යවන්නෝය,මම නැටුම් නටද්දී ළමයි ගදර වේගයෙන් යවන්නෝය
ළමයි ගෙදර යනවා,ළමයි ගෙදර යති,ළමයි ගෙර යති
නුබලා ඔහුගෙන් පොතක් ගැනේ,නුබලා ඔහුගෙන් පොතක් ගත්තෙහු,නුබල ඔහුගෙන් පොතක් ගත්තෙහු
ළමයා ඔහුට පොතක් දෙති,නුබලා ඔහුට පොතක් දෙවෙහු,නුබලා ඔහුට පතක් දෙවෙහු
ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් දීපන්,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහගෙන් පොතක් ගැනවේ
ලස්සන වාහනය ගෙදර යැවෙහි,ලස්සන වාහනය ගෙදර යැවේ,ලස්සන වාහනය ගෙද යැවේ
වාහන බත් කමින් යන්න,වාහන බත් කමින් යත්වා,වාහන බත් කමින යත්වා
වාහන ගෙදර වේගයෙන් යවති,වාහන ගෙදර වේගයෙන් යයි,වාහන ගෙදර වේගයෙන් යි
මම නැටුම් නටද්දී ළමයි ගෙදර යවන්නෙමු,මම නැටුම් නටද්දී ළමයි ගෙදර යවති,මම නැටුම් නටද්දී ළමයි ගෙදර වති
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් ගත්තාය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමි,ළමයි බත් කමින් ගෙදර වේගයෙන් යති,ළමයි බත් කමින් ගෙර වේගයෙන් යති
මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් යැවෙති,මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් ගියෙහි,මම නැටුම් නටද්දී නුබ ගෙදර වේගයෙන් ගිෙහි
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් ගනිමිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්ු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
නුබලා ඔහුට පොතක් ගන්වන්නීය,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වගයෙන් යැවවේ
ළමයා ඔහුට පොතක් ගන්වන්නෙහි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙද වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් නුබලා වේගයෙන් යමු,ඔබ සින්දු කිව්වොත් නුබලා වේගයෙන් යනවාලා,ඔබ සින්ු කිව්වොත් නුබලා වේගයෙන් යනවාලා
ළමයා  යැවෙහි,ළමයා  යැවේ,ළමය යැවේ
මම නැටුම් නටද්දී නුබලා ගෙදර යහි,මම නැටුම් නටද්දී නුබලා ගෙදර යවු,මම නැටුම් නටද්දී නුබලා ගදර යවු
මම නැටුම් නටද්දී ළමයා වේගයෙන් යන්න,මම නැටුම් නටද්දී ළමයා වේගයෙන් යත්වා,මම නැටුම් නටද්දී ළමයා වේගයේ යත්වා
මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යහුවා,මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යවමු,මම නැටුම් නටද්දී අපි ගෙදර වේගයෙන් යමු
ලස්සන වාහන පොත බලා ගෙදර යන්නෙමුවා,ලස්සන වාහන පොත බලා ගෙදර යන්නීය,ලස්සන වාහන පොත බලා ෙදර යන්නීය
මම නැටුම් නටද්දී වාහනය යන්න,මම නැටුම් නටද්දී වාහනය යත්වා,මම නැටුම් නටද්දී වාහනය ය්වා
මම ඔහුගෙන් පොතක් දෙනු,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන හුගෙන් පොතක් ගැනවේ
වාහන පොත බලා වේගයෙන් යන්නෙමිවා,වාහන පොත බලා වේගයෙන් යන්නීය,වාන පොත බලා වේගයෙන් යන්නීය
මම නැටුම් නටද්දී වාහනය ගෙදර වේගයෙන් යනවා,මම නැටුම් නටද්දී වාහනය ගෙදර වේගයෙන් යත්වා,මම නැටුම් නටද්දී වාහනය ගෙර වේගයෙන් යත්වා
වාහන ඔහුට පොතක් ගන්වන්නේය,වාහන ගෙදර වේගයෙන් යැවවේ,ාහන ගෙදර වේගයෙන් යැවවේ
ලස්සන නුබලා ගෙදර යවන්නීය,ලස්සන නුබලා ගෙදර යනවාලා,ලස්සන නුබලා ගෙදර යනවලා
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් ගන්වහි,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේයෙන් යැවවේ
අපි බත් කමින් ගෙදර යැවේ,අපි බත් කමින් ගෙදර ගියෙමු,අපි බත් කින් ගෙදර ගියෙමු
මම නැටුම් නටද්දී නුබ යයි,මම නැටුම් නටද්දී නුබ යන්නෙහිවා,මම නැටුම් නටද්දී නු යන්නෙහිවා
මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර ගියෙහු,මම නැටුම් නටද්දී ලස්සන නුබ ගෙදර ගියෙහි,මම නැටුම් නටද්දී ලස්සන නුබ ෙදර ගියෙහි
ලස්සන ළමයි ගෙදර යැවවේ,ලස්සන ළමයි ගෙදර යැවවෙති,ලස්සන ළමයි ගෙදර යවවෙති
මම ගෙදර වේගයෙන් ගියේය,මම ගෙදර වේගයෙන් ගියෙමි,මම ගෙදර වේයෙන් ගියෙමි
මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවති,මම නැටුම් නටද්දී ලස්සන මම ගෙදර යමිවා,මම නැටුම් නටද්දී ලස්සන ම ගෙදර යමිවා
නුබ බත් කමින් යැවෙහි,නුබ බත් කමින් ගියෙහි,නුබ බ් කමින් ගියෙහි
නුබලා පොත බලා ගෙදර යවන්නෙමු,නුබලා පොත බලා ගෙදර යනවාලා,නුබලා පොත බල ගෙදර යනවාලා
මම නැටුම් නටද්දී මම යහුවා,මම නැටුම් නටද්දී මම යවමි,මම නැටුම් නටදදී මම යවමි
ඔබ සින්දු කිව්වොත් නුබ ගෙදර යැවෙහු,ඔබ සින්දු කිව්වොත් නුබ ගෙදර ගියෙහි,ඔබ සින්දු කිව්වොත් නුබ ගෙදර ියෙහි
මම ගෙදර වේගයෙන් යන්නෙමු,මම ගෙදර වේගයෙන් යන්නෙමිවා,මම ගෙදර වගයෙන් යන්නෙමිවා
ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් දීපන්,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගනවේ
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් දෙහිවා,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැවේ
මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහිවා,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,ම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
නුබ බත් කමින් යැවේ,නුබ බත් කමින් ගියෙහි,නුබ බත් කමින් ගියෙි
නුබ වේගයෙන් යන්නෙමුවා,නුබ වේගයෙන් යන්න,නබ වේගයෙන් යන්න
නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෝය,නුබලා බත් කමින් ගෙදර වේගයෙන් යනවාලා,නුබලා බත් කමින් ගෙදර වේගයෙන් නවාලා
වාහන පොත බලා ගෙදර යහුවා,වාහන පොත බලා ගෙදර යවයි,වාහන පොත බලා ගෙද යවයි
ඔබ සින්දු කිව්වොත් නුබ ගෙදර යන්නේය,ඔබ සින්දු කිව්වොත් නුබ ගෙදර යන්නෙහිවා,බ සින්දු කිව්වොත් නුබ ගෙදර යන්නෙහිවා
නුබ පොත බලා ගෙදර යැවේ,නුබ පොත බලා ගෙදර ගියෙහි,නුබ පත බලා ගෙදර ගියෙහි
නුබ පොත බලා යවන්නෙමි,නුබ පොත බලා යව,නුබ පොත බලා ව
නුබලා ඔහුගෙන් පොතක් දෙමුවා,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොක් ගැනවේ
ඔබ සින්දු කිව්වොත් නුබලා ඔහුට පොතක් ගත්තෙහු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවව
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවමි,ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවන්නේය,ඔබ සින්දු ිව්වොත් ළමයා ඔහුට පොතක් දෙවන්නේය
නුබ ඔහුගෙන් පොතක් ගැනෙමු,නුබ ඔහුගෙන් පොතක් ගත්තෙහි,ුබ ඔහුගෙන් පොතක් ගත්තෙහි
අපි ගෙදර යැවවේ,අපි ගෙදර යැවෙමු,පි ගෙදර යැවෙමු
ඔබ සින්දු කිව්වොත් වාහනය යමුවා,ඔබ සින්දු කිව්වොත් වාහනය යන්නේය,ඔබ සින්දු කි්වොත් වාහනය යන්නේය
වාහනය බත් කමින් ගෙදර වේගයෙන් යති,ළමයි බත් කමින් ගෙදර වේගයෙන් යැවවෙති,ළමයි බත් කමින් ෙදර වේගයෙන් යැවවෙති
අපි පොත බලා යන්නෝය,අපි පොත බලා යන්නෙමුවා,අපි ොත බලා යන්නෙමුවා
මම වේගයෙන් යවන්නෙහු,මම වේගයෙන් යවන්නෙමි,මම වේගයන් යවන්නෙමි
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙවන්නේය,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහ ඔහුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ගැනෙමි,මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ගත්තෙහි,මම නැටුම් නටද්දී නුබ ඔුගෙන් පොතක් ගත්තෙහි
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් ගන්හු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් ළමයි යන්නෙමු,ඔබ සින්දු කිව්වොත් ළමයි යති,ඔ සින්දු කිව්වොත් ළමයි යති
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙනලදී,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙහිවා,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙහිා
ලස්සන වාහන බත් කමින් ගෙදර ගියෙමි,ලස්සන වාහන බත් කමින් ගෙදර යවයි,ලස්ස වාහන බත් කමින් ගෙදර යවයි
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවව
ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් ගැනෙයි,ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් ගත්තෙහි,ඔබ සින්දු කිව්වොත් නුබ ඔහුගේ පොතක් ගත්තෙහි
වාහනය ඔහුගෙන් පොතක් දුන්නාය,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක් ගැනව
මම ගෙදර යැවවෙති,මම ගෙදර යැවෙමි,මම ගෙද යැවෙමි
ළමයි ඔහුගෙන් පොතක් ගන්වන්නෙමු,ළමයි ඔහුගෙන් පොතක් ගන්වති,ළයි ඔහුගෙන් පොතක් ගන්වති
ඔබ සින්දු කිව්වොත් නුබලා ගෙදර වේගයෙන් යන්නෙමුවා,ඔබ සින්දු කිව්වොත් නුබලා ගෙදර වේගයෙන් යනවාලා,ඔබ සින්දු කිව්වොත් නුබා ගෙදර වේගයෙන් යනවාලා
අපි ඔහුගෙන් පොතක් දුන්නේය,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන හුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී නුබ යහුවා,මම නැටුම් නටද්දී නුබ යහිවා,ම නැටුම් නටද්දී නුබ යහිවා
මම නැටුම් නටද්දී ලස්සන වාහනය ගෙදර ගියෙහු,මම නැටුම් නටද්දී ලස්සන වාහනය ගෙදර යවයි,මම නැටුම් නටද්දී ලස්සන වාහනය ගෙදර යවි
ළමයි පොත බලා ගෙදර වේගයෙන් යහු,ළමයි පොත බලා ගෙදර වේගයෙන් යවන්නෝය,මයි පොත බලා ගෙදර වේගයෙන් යවන්නෝය
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් ගත්තෙහු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම ැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී නුබලා ඔහුගෙන් පොතක් දෙනලදී,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ැනවේ
ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනෙති,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනෙයි,ඔබ සින්දු කිව්වොත් වාහන හුගෙන් පොතක් ගැනෙයි
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් දීපල්ලා,ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙන්නෙමුවා,ඔබ සින්දු කිව්වොත් අපි ඔුට පොතක් දෙන්නෙමුවා
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යවහු,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යවන්නෝය,මම නැටුම් නටද්දී ළයි ගෙදර වේගයෙන් යවන්නෝය
මම නැටුම් නටද්දී මම යැවේ,මම නැටුම් නටද්දී මම ගියෙමි,මම නැටු් නටද්දී මම ගියෙමි
ළමයි බත් කමින් වේගයෙන් යවන්නෙහි,ළමයි බත් කමින් වේගයෙන් යවති,ළමයි බත් කමින් වේගයෙන් යවත
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යැවෙයි,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් ගියෝය,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් ගියය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් ගන්වන්නෙහි,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
වාහනය බත් කමින් යැවෙහු,වාහනය බත් කමින් යැවේ,වාහනය බත් කමින් යවේ
වාහනය ඔහුට පොතක් දෙමුවා,වාහනය ඔහුට පොතක් දෙන්නේය,වාහනය ඔහුට පොතක් දන්නේය
මම නැටුම් නටද්දී නුබ වේගයෙන් යන්නෙමුවා,මම නැටුම් නටද්දී නුබ වේගයෙන් යන්න,ම නැටුම් නටද්දී නුබ වේගයෙන් යන්න
මම නැටුම් නටද්දී මම යන්නෙමුවා,මම නැටුම් නටද්දී මම යන්නෙමිවා,මම නැටුම් නටද්දී ම යන්නෙමිවා
නුබලා බත් කමින් වේගයෙන් යවති,නුබලා බත් කමින් වේගයෙන් යනවාලා,නුබලා බත් මින් වේගයෙන් යනවාලා
මම නැටුම් නටද්දී වාහනය යවන්නෝය,මම නැටුම් නටද්දී වාහනය යවන්නේය,මම නැටුම් නටද්දී වාහනය යවන්නේ
අපි ඔහුට පොතක් දෙන්නෙමි,මම ඔහුට පොතක් දෙවෙමි,මම ඔුට පොතක් දෙවෙමි
මම නැටුම් නටද්දී අපි වේගයෙන් යව,මම නැටුම් නටද්දී අපි වේගයෙන් යමුවා,මම නැටුම් නටද්දී අපි වේගයෙන් මුවා
ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් දෙවයි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,බ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් වාහන ගියෙමු,ඔබ සින්දු කිව්වොත් වාහන යවයි,ඔබ සින්දු කිව්වෝ වාහන යවයි
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් ගත්තාය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යවවේ
මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙමි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක ගැනවේ
නුබ ඔහුගෙන් පොතක් ගන්නේය,නුබ ඔහුගෙන් පොතක් ගන්නෙහිවා,නුබ ඔහුගෙන් පොතක ගන්නෙහිවා
මම බත් කමින් ගෙදර යමු,මම බත් කමින් ගෙදර යමිවා,මම බ් කමින් ගෙදර යමිවා
අපි බත් කමින් යන්නීය,මම බත් කමින් යැවෙමි,මම බත් කමින් යැෙමි
ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් ගත්තෙමි,ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් ගන්හිවා,ඔබ සින්දු කිව්වත් නුබ ඔහුගෙන් පොතක් ගන්හිවා
මම ගෙදර යැවෙති,මම ගෙදර යැවෙමි,මම ෙදර යැවෙමි
ලස්සන අපි බත් කමින් ගෙදර යැවවෙති,ලස්සන අපි බත් කමින් ගෙදර යැවෙමු,ලස්ස අපි බත් කමින් ගෙදර යැවෙමු
වාහන වේගයෙන් යහු,වාහන වේගයෙන් යවයි,වාහන වේගෙන් යවයි
ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් දෙමිවා,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනේ
ළමයා පොත බලා ගෙදර යැවවෙති,ළමයා පොත බලා ගෙදර යැවවෙයි,ළමයා පොත බලා ගෙදර යැවෙයි
ලස්සන අපි ගෙදර යවන්නෝය,ලස්සන අපි ගෙදර යවන්නෙමු,ලසසන අපි ගෙදර යවන්නෙමු
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙන්නෙමුවා,මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙන්නීය,මම නැටුම් නටද්දී වාහනය ඔහුට පොත් දෙන්නීය
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් දෙමිවා,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගන් පොතක් ගැනවේ
මම නැටුම් නටද්දී වාහන වේගයෙන් යනු,මම නැටුම් නටද්දී වාහන වේගයෙන් යත්වා,මම ැටුම් නටද්දී වාහන වේගයෙන් යත්වා
ඔබ සින්දු කිව්වොත් ළමයි වේගයෙන් යන්නේය,ඔබ සින්දු කිව්වොත් ළමයි වේගයෙන් යති,ඔබ සින්දු කිව්වොත් ළමි වේගයෙන් යති
ඔබ සින්දු කිව්වොත් වාහනය ගෙදර වේගයෙන් යැවවෙති,ඔබ සින්දු කිව්වොත් වාහනය ගෙදර වේගයෙන් යැවවෙයි,ඔබ සින්දු කිව්වොත් වාහනය ගෙදර වේගයෙන් යැවෙයි
මම නැටුම් නටද්දී මම ගෙදර යත්වා,මම නැටුම් නටද්දී වාහන යැවවේ,ම නැටුම් නටද්දී වාහන යැවවේ
මම නැටුම් නටද්දී නුබලා වේගයෙන් යනවා,මම නැටුම් නටද්දී නුබ වේගයෙන් ගියෙහි,මම නැටු් නටද්දී නුබ වේගයෙන් ගියෙහි
මම බත් කමින් ගෙදර යන්නෝය,මම බත් කමින් ගෙදර යන්නෙමිවා,ම බත් කමින් ගෙදර යන්නෙමිවා
මම නැටුම් නටද්දී මම ගෙදර වේගයෙන් යත්වා,මම නැටුම් නටද්දී වාහන වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන වගයෙන් යැවවේ
වාහනය යවති,වාහනය යයි,වාහන යයි
ළමයි බත් කමින් වේගයෙන් යන්නෙමු,ළමයි බත් කමින් වේගයෙන් යති,ළමයි බත් කමින් වේගයෙන් යත
